match_id,tournament_year,inning,team,batter,runs,balls,fours,sixes,strike_rate,dismissal
MOCK_2021_4,2021,1,England,R. Sharma,47,32,4,2,146.9,b Cummins
MOCK_2021_4,2021,2,Pakistan,D. Warner,58,41,5,2,141.5,c Jadeja b Bumrah
MOCK_2022_1,2022,1,India,V. Kohli,82,53,6,3,154.7,c sub b Starc
MOCK_2022_1,2022,1,India,R. Sharma,47,32,4,2,146.9,b Cummins
MOCK_2022_1,2022,2,Australia,D. Warner,58,41,5,2,141.5,c Jadeja b Bumrah
MOCK_2022_2,2022,1,England,V. Kohli,82,53,6,3,154.7,c sub b Starc
MOCK_2022_2,2022,1,England,R. Sharma,47,32,4,2,146.9,b Cummins
MOCK_2022_2,2022,2,Pakistan,D. Warner,58,41,5,2,141.5,c Jadeja b Bumrah
MOCK_2022_3,2022,1,India,V. Kohli,82,53,6,3,154.7,c sub b Starc
MOCK_2022_3,2022,1,India,R. Sharma,47,32,4,2,146.9,b Cummins
MOCK_2022_3,2022,2,Australia,D. Warner,58,41,5,2,141.5,c Jadeja b Bumrah
MOCK_2022_4,2022,1,England,V. Kohli,82,53,6,3,154.7,c sub b Starc
MOCK_2022_4,2022,1,England,R. Sharma,47,32,4,2,146.9,b Cummins
MOCK_2022_4,2022,2,Pakistan,D. Warner,58,41,5,2,141.5,c Jadeja b Bumrah
MOCK_2024_1,2024,1,India,V. Kohli,82,53,6,3,154.7,c sub b Starc
MOCK_2024_1,2024,1,India,R. Sharma,47,32,4,2,146.9,b Cummins
MOCK_2024_1,2024,2,Australia,D. Warner,58,41,5,2,141.5,c Jadeja b Bumrah
MOCK_2024_2,2024,1,England,V. Kohli,82,53,6,3,154.7,c sub b Starc
MOCK_2024_2,2024,1,England,R. Sharma,47,32,4,2,146.9,b Cummins
MOCK_2024_2,2024,2,Pakistan,D. Warner,58,41,5,2,141.5,c Jadeja b Bumrah
MOCK_2024_3,2024,1,India,V. Kohli,82,53,6,3,154.7,c sub b Starc
MOCK_2024_3,2024,1,India,R. Sharma,47,32,4,2,146.9,b Cummins
MOCK_2024_3,2024,2,Australia,D. Warner,58,41,5,2,141.5,c Jadeja b Bumrah
MOCK_2024_4,2024,1,England,V. Kohli,82,53,6,3,154.7,c sub b Starc
MOCK_2024_4,2024,1,England,R. Sharma,47,32,4,2,146.9,b Cummins
MOCK_2024_4,2024,2,Pakistan,D. Warner,58,41,5,2,141.5,c Jadeja b Bumrah
